,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,CESSPOOL_Density_perAcre_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
227,881,21.748654138330778,322,27.724596273292033,0.0,1.0869565217391304,8.059015941075446,2.427762641972268,37.91412133416375,11.344080254779483,2.8070050339120254,9.462185932812494,59.47594932411971,0.0,8.105282577947287,25.31366459627329,66.0,48.32478372204573,39.933062059160214,0.8509316770186336,Low,3.0
229,885,20.10075192804208,110,33.44333333333328,0.0,1.8181818181818181,8.503830242573219,1.0197222055740802,10.068131386224044,13.629763249165812,7.777839221340311,16.609024397330653,33.129420721653084,0.0,7.920792079207907,100.0,33.0,12.726146077817639,41.96584611627143,0.0,Low,3.0
232,901,17.0162411089738,13,20.57333333333333,0.0,0.0,8.745696206693934,1.4405681899317626,28.538166997094212,1.460550790551089,7.516303280598224,3.0547957446955296,10.680388096869105,0.0,0.9900990099009904,66.0,66.0,33.40484934372904,23.85510675018361,0.0,Low,3.0
234,907,19.067160478789788,18,24.07452380952381,0.0,0.0,3.199927408325763,3.089008343422203,5.878762341493177,38.62713781529709,4.243180984038761,2.881373758456952,59.41862098154182,0.0,24.75247524752476,11.0,0.0,64.03421948697249,63.87533748403981,0.0,Low,3.0
241,937,19.70416239364907,103,26.170110957004145,0.0,0.0,2.2300208594210025,2.1610082930753185,7.096217422390383,10.218432847196446,2.9152459421145704,3.8963020965529243,82.17002241263937,0.0,1.3553782562722279,0.0,99.66990291262135,19.481753400866904,57.90220289823045,0.0,Low,3.0
251,984,25.408793973308704,36,28.74953703703702,0.0,0.0,6.9772973491570225,18.094927630075276,7.194897016905974,22.26595272704023,19.141892381848223,6.866665323933455,37.110612052204225,0.0,100.0,33.0,0.0,69.57518288039547,57.563739174342295,1.0,Medium,2.0
254,998,22.763581547511325,26,29.343919413919405,0.0,0.0,5.373341212539868,5.5232074498323565,7.907769996584941,7.224857261650921,7.711871229854461,9.535852141083513,61.5769675096558,0.0,17.28865194211729,33.0,69.23076923076923,36.42910308732781,74.07099428484568,1.0,Low,3.0
275,1069,15.953095465754918,26,44.27666666666665,0.0,23.076923076923077,3.2752618409039482,1.3531774651831985,9.06168195839601,5.880616176241332,6.521129167344695,7.263759634197296,50.28568331943093,0.0,0.9900990099009908,33.0,33.0,14.228716539207277,23.035812597683318,1.0,Low,3.0
280,1123,29.50738991572531,255,21.41601960784319,0.0,0.0,6.062319797671104,7.995625397434983,72.84052845876545,10.333324958404798,1.958786555980369,5.8571585680901,92.0556981952397,0.0,20.170840613473178,66.0,66.0,86.5383456986916,14.889590800011018,0.0,Medium,2.0
281,1126,27.21519415229207,31,28.61857142857141,0.0,0.0,2.6134517238730552,29.86150624019773,32.96315794248793,14.26131280158471,1.6343882005599628,2.1406098412235735,62.72724112549154,0.0,5.940594059405944,33.0,66.0,99.82845491419901,55.85381815907819,0.0,Medium,2.0
