,Uid,RFish_rank
465,-155.76182_19.11240,2.0
466,-155.76746_19.08870,3.0
467,-155.63247_19.04598,2.0
468,-155.80017_19.09687,2.0
469,-155.62775_19.03179,1.0
470,-155.78811_19.10578,3.0
471,-155.77314_19.10679,2.0
472,-155.78287_19.09002,2.0
473,-155.76506_19.12476,3.0
474,-155.76261_19.12557,2.0
475,-155.73981_19.10622,2.0
476,-155.75178_19.07954,2.0
477,-155.78076_19.11456,2.0
478,-155.79515_19.07321,2.0
479,-155.77362_19.08455,3.0
480,-155.79344_19.05065,3.0
481,-155.75817_19.13501,2.0
482,-155.77358_19.08771,3.0
483,-155.77566_19.09942,3.0
484,-155.77521_19.10355,3.0
485,-155.77546_19.10413,3.0
486,-155.64575_18.98297,2.0
487,-155.78407_19.10081,2.0
488,-155.79822_19.09711,3.0
489,-155.62473_19.04211,1.0
490,-155.47356_19.20104,3.0
491,-155.75789_19.10146,2.0
492,-155.77299_19.11047,2.0
493,-155.75394_19.09051,2.0
494,-155.61220_19.06763,1.0
495,-155.58746_19.05968,1.0
496,-155.58789_19.05991,1.0
497,-155.76289_19.10773,2.0
498,-155.77431_19.08747,3.0
499,-155.75672_19.09479,2.0
500,-155.77662_19.05680,3.0
501,-155.73462_19.11362,2.0
502,-155.73474_19.11393,2.0
503,-155.79164_19.11044,2.0
504,-155.77401_19.10130,2.0
505,-155.76773_19.11786,3.0
506,-155.76784_19.11818,3.0
507,-155.76475_19.10831,2.0
508,-155.90082_19.20763,2.0
509,-155.90146_19.20707,2.0
510,-155.77581_19.12161,3.0
511,-155.77404_19.12166,3.0
512,-155.72099_19.14397,2.0
513,-155.77067_19.11842,3.0
514,-155.77637_19.14476,3.0
515,-155.76480_19.12070,2.0
516,-155.77455_19.10392,3.0
517,-155.76835_19.06094,3.0
518,-155.76150_19.12249,2.0
519,-155.76496_19.11001,2.0
520,-155.76461_19.10905,2.0
521,-155.87117_19.29193,3.0
522,-155.79263_19.10430,2.0
523,-155.74380_19.09535,2.0
524,-155.73986_19.10961,2.0
525,-155.76590_19.09651,3.0
526,-155.78544_19.10573,2.0
527,-155.78521_19.11477,3.0
528,-155.80328_19.10214,2.0
529,-155.76538_19.11587,2.0
530,-155.75437_19.11688,2.0
531,-155.76710_19.11615,3.0
532,-155.75229_19.08329,2.0
533,-155.76237_19.09538,3.0
534,-155.74485_19.09743,2.0
535,-155.74442_19.09703,2.0
536,-155.78021_19.11192,3.0
537,-155.76983_19.10169,3.0
538,-155.79770_19.09871,3.0
539,-155.79666_19.09923,2.0
540,-155.65883_19.04186,2.0
541,-155.77016_19.10265,2.0
542,-155.78000_19.12214,3.0
543,-155.58302_19.06011,2.0
544,-155.74197_19.11534,2.0
545,-155.75311_19.08818,2.0
546,-155.63278_19.04940,2.0
547,-155.78047_19.10442,3.0
548,-155.76374_19.10663,2.0
549,-155.76350_19.09501,3.0
550,-155.76326_19.09437,3.0
551,-155.74871_19.09795,2.0
552,-155.74915_19.09727,2.0
553,-155.74498_19.12890,2.0
554,-155.77241_19.11221,2.0
555,-155.79639_19.09414,3.0
556,-155.77785_19.12052,3.0
557,-155.77267_19.08783,2.0
558,-155.76173_19.09695,2.0
559,-155.79141_19.10980,2.0
560,-155.74755_19.09242,2.0
561,-155.77200_19.12777,3.0
562,-155.72133_19.14048,2.0
563,-155.72182_19.14032,2.0
564,-155.75323_19.09193,2.0
565,-155.74382_19.09886,2.0
566,-155.77857_19.13315,3.0
567,-155.78095_19.08892,2.0
568,-155.74494_19.10193,2.0
569,-155.78162_19.10162,3.0
570,-155.78174_19.10193,3.0
571,-155.77191_19.12948,3.0
572,-155.77198_19.12856,3.0
573,-155.74072_19.11193,2.0
574,-155.77843_19.11267,3.0
575,-155.77786_19.11302,3.0
576,-155.63646_19.03956,2.0
577,-155.80062_19.09925,2.0
578,-155.74327_19.10812,2.0
579,-155.75824_19.10241,2.0
580,-155.78765_19.05586,3.0
581,-155.75336_19.12514,2.0
582,-155.77408_19.09186,3.0
583,-155.77395_19.09149,3.0
584,-155.75558_19.11968,2.0
585,-155.75519_19.11990,2.0
586,-155.78160_19.12664,2.0
587,-155.75157_19.14315,2.0
588,-155.78497_19.12228,3.0
589,-155.57530_19.06396,2.0
590,-155.63131_19.04421,2.0
591,-155.77455_19.09637,3.0
592,-155.79345_19.11209,3.0
593,-155.78096_19.05879,3.0
594,-155.78264_19.11525,2.0
595,-155.78742_19.10654,3.0
596,-155.75947_19.12139,2.0
597,-155.78917_19.09299,2.0
598,-155.76898_19.10267,3.0
599,-155.74715_19.09123,2.0
600,-155.75050_19.10817,2.0
601,-155.75593_19.11151,2.0
602,-155.75368_19.10569,2.0
603,-155.75810_19.08348,3.0
604,-155.79140_19.09319,2.0
605,-155.48177_19.20290,3.0
606,-155.76022_19.10025,2.0
607,-155.78311_19.11014,2.0
608,-155.78318_19.11032,2.0
609,-155.76959_19.10436,3.0
610,-155.77584_19.11073,2.0
611,-155.75105_19.09798,2.0
612,-155.78063_19.11419,3.0
613,-155.77702_19.11654,3.0
614,-155.77715_19.11692,3.0
615,-155.81167_19.05397,2.0
616,-155.76290_19.12632,2.0
617,-155.77879_19.11397,3.0
618,-155.77093_19.10244,2.0
619,-155.77575_19.12488,3.0
620,-155.78702_19.10038,2.0
621,-155.76494_19.14289,3.0
622,-155.86935_19.19793,2.0
623,-155.76991_19.14204,2.0
624,-155.74576_19.09960,2.0
625,-155.75568_19.13159,2.0
626,-155.75530_19.08664,3.0
627,-155.77290_19.10462,2.0
628,-155.75366_19.14449,2.0
629,-155.76952_19.12171,3.0
630,-155.76464_19.08542,2.0
631,-155.88171_19.20601,2.0
632,-155.74400_19.10123,2.0
633,-155.74376_19.10130,2.0
634,-155.75907_19.13745,3.0
635,-155.78261_19.12039,2.0
636,-155.80129_19.09919,2.0
637,-155.76971_19.09378,2.0
638,-155.75938_19.12266,2.0
639,-155.74495_19.10943,2.0
640,-155.79851_19.10433,3.0
641,-155.60886_19.04232,1.0
642,-155.79249_19.09291,2.0
643,-155.74800_19.11788,2.0
644,-155.74480_19.14792,2.0
645,-155.75347_19.10334,2.0
646,-155.77096_19.08755,2.0
647,-155.74517_19.09910,2.0
648,-155.74586_19.09834,2.0
649,-155.72066_19.14052,2.0
650,-155.73210_19.11750,2.0
651,-155.73245_19.11846,2.0
652,-155.73288_19.11778,2.0
653,-155.75399_19.10157,2.0
654,-155.58143_19.06194,2.0
655,-155.74410_19.09347,2.0
656,-155.77955_19.04279,3.0
657,-155.75173_19.09538,2.0
658,-155.75441_19.08089,2.0
659,-155.75485_19.08021,2.0
660,-155.77090_19.11907,3.0
661,-155.66318_18.99860,2.0
662,-155.76155_19.10061,2.0
663,-155.76135_19.10841,2.0
664,-155.76208_19.10817,2.0
665,-155.78622_19.11751,2.0
666,-155.62065_19.05710,1.0
667,-155.77279_19.08815,3.0
668,-155.72759_19.12689,2.0
669,-155.75773_19.12886,2.0
670,-155.76511_19.10286,3.0
671,-155.76155_19.08797,3.0
672,-155.75333_19.08124,2.0
673,-155.75305_19.08161,2.0
674,-155.77798_19.04917,3.0
675,-155.76603_19.11309,2.0
676,-155.76482_19.08445,2.0
677,-155.79808_19.10647,2.0
678,-155.78969_19.11155,2.0
679,-155.78963_19.11137,2.0
680,-155.77809_19.11379,3.0
681,-155.77510_19.13792,2.0
682,-155.77278_19.03341,2.0
683,-155.58589_19.06126,1.0
684,-155.77416_19.11181,2.0
685,-155.77441_19.11173,2.0
686,-155.75812_19.10209,2.0
687,-155.76230_19.10602,2.0
688,-155.77004_19.13498,3.0
689,-155.77283_19.13180,3.0
690,-155.77547_19.12065,3.0
691,-155.61915_19.05464,1.0
692,-155.77921_19.08865,3.0
693,-155.78527_19.10821,2.0
694,-155.78601_19.10797,2.0
695,-155.78423_19.10237,2.0
696,-155.73580_19.10974,2.0
697,-155.63009_19.03450,1.0
698,-155.77691_19.08415,3.0
699,-155.75189_19.07835,2.0
700,-155.79362_19.10773,3.0
701,-155.76749_19.12054,3.0
702,-155.77781_19.09155,3.0
703,-155.75558_19.08221,3.0
704,-155.75133_19.12067,2.0
705,-155.79962_19.10098,3.0
706,-155.75171_19.14219,2.0
707,-155.79100_19.10026,3.0
708,-155.78693_19.10526,2.0
709,-155.75756_19.08691,3.0
710,-155.76303_19.09400,3.0
711,-155.47971_19.20237,3.0
712,-155.76934_19.09274,2.0
713,-155.76945_19.09305,2.0
714,-155.75545_19.09468,2.0
715,-155.76654_19.10345,3.0
716,-155.76894_19.10179,3.0
717,-155.75554_19.13534,2.0
718,-155.62782_19.03518,1.0
719,-155.75441_19.09780,2.0
720,-155.78168_19.11926,2.0
721,-155.75435_19.12789,2.0
722,-155.77644_19.09030,3.0
723,-155.77678_19.08853,3.0
724,-155.75093_19.13581,2.0
725,-155.75467_19.10760,2.0
726,-155.79424_19.35614,3.0
727,-155.90248_19.47015,2.0
728,-155.90228_19.46968,2.0
729,-155.90171_19.47004,2.0
730,-155.90186_19.47047,2.0
731,-155.92529_19.45954,2.0
732,-155.90060_19.46598,3.0
733,-155.90018_19.46548,3.0
734,-155.90021_19.46498,3.0
735,-155.89387_19.49067,1.0
736,-155.93761_19.56123,3.0
737,-155.21537_19.42236,2.0
738,-155.19116_19.44071,4.0
739,-155.22399_19.43176,3.0
740,-155.23520_19.42957,3.0
741,-155.23497_19.43003,3.0
742,-155.76266_19.08757,3.0
743,-155.75278_19.09710,2.0
744,-155.74591_19.09017,2.0
745,-155.74402_19.11772,2.0
746,-155.76350_19.08176,3.0
747,-155.76564_19.12821,3.0
748,-155.78522_19.09408,2.0
749,-155.75189_19.09916,2.0
750,-155.75083_19.12560,2.0
751,-155.78066_19.11802,2.0
752,-155.76088_19.08429,3.0
753,-155.74945_19.08902,2.0
754,-155.77351_19.09913,2.0
755,-155.77297_19.09949,2.0
756,-155.76006_19.12189,2.0
757,-155.61004_19.06582,1.0
758,-155.74918_19.08708,2.0
759,-155.73399_19.13098,2.0
760,-155.76850_19.09041,2.0
761,-155.76864_19.09192,2.0
762,-155.76532_19.09252,3.0
763,-155.47378_19.19815,1.0
764,-155.76091_19.09343,3.0
765,-155.77744_19.12715,2.0
766,-155.67222_19.06298,2.0
767,-155.77820_19.06910,3.0
768,-155.76282_19.11172,2.0
769,-155.76202_19.12837,2.0
770,-155.75116_19.09715,2.0
771,-155.78726_19.09753,2.0
772,-155.75367_19.13693,2.0
773,-155.76898_19.11490,3.0
774,-155.76944_19.11503,3.0
775,-155.76286_19.11872,2.0
776,-155.75380_19.10709,2.0
777,-155.62954_19.03196,1.0
778,-155.77156_19.08993,2.0
779,-155.76457_19.09693,3.0
780,-155.79712_19.10382,3.0
781,-155.62382_19.04708,1.0
782,-155.63664_19.03450,2.0
783,-155.77285_19.14666,2.0
784,-155.60964_19.04248,1.0
785,-155.74077_19.12293,2.0
786,-155.74088_19.12325,2.0
787,-155.75330_19.08450,2.0
788,-155.80146_19.10157,2.0
789,-155.75588_19.14297,3.0
790,-155.76957_19.09005,2.0
791,-155.64372_19.04207,2.0
792,-155.74342_19.11049,2.0
793,-155.78613_19.09218,2.0
794,-155.76056_19.11337,2.0
795,-155.76153_19.08306,3.0
796,-155.63365_19.03903,2.0
797,-155.76479_19.08937,3.0
798,-155.76160_19.08550,3.0
799,-155.75101_19.09337,2.0
800,-155.79493_19.09963,2.0
801,-155.74602_19.15352,2.0
802,-155.50544_19.13356,3.0
803,-155.76175_19.13731,3.0
804,-155.75985_19.13774,3.0
805,-155.77711_19.13262,2.0
806,-155.74060_19.15283,2.0
807,-155.75226_19.09996,2.0
808,-155.75239_19.10033,2.0
809,-155.64434_19.07384,3.0
810,-155.78221_19.09575,2.0
811,-155.77170_19.14281,2.0
812,-155.77296_19.09191,3.0
813,-155.78263_19.10772,2.0
814,-155.74356_19.11633,2.0
815,-155.74683_19.10028,2.0
816,-155.74590_19.10112,2.0
817,-155.77851_19.09902,3.0
818,-155.78251_19.10293,2.0
819,-155.78244_19.10275,2.0
820,-155.75998_19.09216,3.0
