,Uid,dist2_MunWells_m
56,-155.74747_19.10313,2438.824153732483
57,-155.75324_19.12140,3814.8787987396418
58,-155.78636_19.09109,2251.4258082903666
59,-155.63670_19.04375,4958.920581863576
60,-155.74521_19.10380,2669.829007584035
61,-155.78990_19.09984,2879.6069993475103
62,-155.79240_19.09840,3061.8667788514363
63,-155.90180_19.20631,19388.75327298993
64,-155.86984_19.20140,16633.692673786634
65,-155.87002_19.20071,16588.972242835494
66,-155.77006_19.11674,3132.9480856885443
67,-155.78675_19.09963,2572.6019214120815
68,-155.80007_19.09774,3809.441702936637
69,-155.74286_19.13197,5317.921771125677
70,-155.77196_19.10771,2211.527978918517
71,-155.76042_19.08995,507.66495629214694
72,-155.76408_19.08738,193.0606928993674
73,-155.79972_19.09634,3736.53391664135
74,-155.89586_19.20974,19192.341016669252
75,-155.77931_19.13516,5341.68153179428
76,-155.75716_19.07743,1514.0694631926901
77,-155.89944_19.20756,19298.4004324776
78,-155.74814_19.11824,3712.241905213321
79,-155.89848_19.20920,19349.36577808698
80,-155.62261_19.04501,3548.3541964513997
81,-155.73720_19.11311,3980.7886916139264
82,-155.77665_19.14746,6602.369717041141
83,-155.80010_19.09669,3783.8265213526347
84,-155.88300_19.21130,18374.20873558683
85,-155.63086_19.03071,5151.059235324154
86,-155.89486_19.20283,18589.631728192056
87,-155.89500_19.20321,18629.3815669626
88,-155.76610_19.08870,105.88993730639248
89,-155.76212_19.08778,334.84423788072536
90,-155.77469_19.11530,3099.098416699084
91,-155.89955_19.20359,19010.98831661955
92,-155.85655_19.19473,15165.02381482113
93,-155.85698_19.19467,15188.134852962534
94,-155.85831_19.19462,15273.270566861936
95,-155.89822_19.20748,19199.58990415819
96,-155.76281_19.12923,4478.651327514134
97,-155.89521_19.20437,18732.12931748741
98,-155.89796_19.20290,18835.450785556528
99,-155.59500_19.05975,236.45846933596974
100,-155.58974_19.05960,318.93191074047064
101,-155.77928_19.08883,1491.677251186761
102,-155.77935_19.08901,1499.4812100841061
103,-155.58281_19.05955,1047.8230501574992
104,-155.75765_19.11064,2538.0165987306964
105,-155.76574_19.09562,754.9083718932269
106,-155.74656_19.11723,3699.823614988023
107,-155.74668_19.11755,3723.2892590491297
108,-155.76222_19.09904,1170.6061058575438
109,-155.90417_19.20309,19339.204782906825
110,-155.90401_19.20303,19322.002042187763
111,-155.89689_19.20278,18743.16160877718
112,-155.89728_19.20273,18770.35148810081
113,-155.89747_19.20854,19222.02772708365
114,-155.89868_19.20337,18926.60944811713
115,-155.86761_19.20027,16384.788713670507
116,-155.86572_19.19937,16179.49022840306
117,-155.47465_19.27137,6596.131153366697
118,-155.73765_19.11622,4187.528894008015
119,-155.86951_19.29686,16285.787062570293
120,-155.77780_19.13186,4946.724219025707
121,-155.62615_19.04545,3862.3527433950762
122,-155.75858_19.09129,738.3783791190652
123,-155.89576_19.20583,18884.874583549252
124,-155.77975_19.05684,3862.0329458428637
125,-155.87163_19.19592,16313.304682279619
126,-155.63820_19.03628,5451.566755661218
127,-155.85572_19.14104,11149.615806511518
128,-155.89680_19.20692,19047.520992517606
129,-155.75997_19.10714,2097.8631731065675
130,-155.89893_19.20573,19122.086487981316
131,-155.89859_19.20746,19225.17230270568
132,-155.58274_19.05937,1055.5720379044892
133,-155.58268_19.05919,1063.6926713568462
134,-155.87097_19.27128,19091.319432648666
135,-155.87140_19.27209,18997.889702951376
136,-155.85996_19.19475,15396.406242627354
137,-155.76557_19.09003,141.22745001500238
138,-155.85956_19.19483,15375.580339477083
139,-155.78344_19.11482,3463.689643366941
140,-155.89913_19.20825,19326.94404559368
141,-155.90058_19.20636,19297.04165126716
142,-155.77633_19.14128,5925.023865955128
143,-155.80303_19.09945,4160.5745581900965
144,-155.80316_19.09982,4185.189820842944
145,-155.77546_19.13130,4825.806975038926
146,-155.75580_19.09564,1235.4618194201878
147,-155.75623_19.09495,1153.4486369717129
148,-155.75565_19.08876,995.1207050542099
149,-155.86922_19.27496,18701.030797290245
150,-155.86512_19.20084,16260.91164104947
151,-155.86468_19.20078,16227.244693611448
152,-155.86376_19.20057,16146.856042578205
153,-155.86260_19.19854,15896.216592093726
154,-155.86255_19.19777,15827.726020780083
155,-155.78534_19.09445,2219.161793594059
156,-155.72174_19.14376,7602.4134537274695
157,-155.78440_19.09559,2164.3849925588615
158,-155.75585_19.10454,1993.2648208319076
159,-155.77316_19.10978,2469.202412175564
160,-155.77007_19.11330,2759.1172921855446
161,-155.90443_19.20400,19425.9129048096
162,-155.77988_19.11605,3390.491415317645
163,-155.86524_19.19993,16192.864852740708
164,-155.62645_19.03907,4230.951661886457
165,-155.78123_19.13213,5084.645267241212
166,-155.78096_19.12601,4440.706817803332
167,-155.76301_19.09707,938.1073207415625
168,-155.76998_19.13221,4829.136234023035
169,-155.77022_19.13212,4822.404040680948
170,-155.89962_19.20315,18984.372271986
171,-155.73119_19.11879,4871.1063247646
172,-155.79000_19.06109,4036.7707742501775
173,-155.74864_19.08447,1798.8528415756
174,-155.78108_19.08815,1683.2013873200608
175,-155.78312_19.08835,1896.7877902804798
176,-155.78244_19.08877,1824.0784509372122
177,-155.89799_19.20501,18995.336735965495
178,-155.77903_19.09787,1774.3356883771291
179,-155.75805_19.08521,843.6672621985828
180,-155.79366_19.10924,3759.683341348441
181,-155.79495_19.10865,3831.7017138155084
182,-155.90136_19.20646,19365.156390000644
183,-155.47196_19.19937,1625.783074827307
184,-155.77017_19.10606,1980.2670407205096
