,Uid,WT_elev_m
101,-155.97986_19.67521,1.27688837051
102,-155.98061_19.67373,0.9869288206100001
103,-155.98460_19.67467,0.9869288206100001
104,-155.96981_19.67895,16.425073623699998
105,-155.98807_19.67766,0.9602223634720001
106,-155.98397_19.66922,0.9682485461239999
107,-155.96776_19.67593,12.7013263702
108,-155.97605_19.68763,5.49549293518
109,-155.97795_19.68914,5.49549293518
110,-155.98165_19.68858,1.4932410717
111,-155.97700_19.68833,5.49549293518
112,-155.97186_19.67940,6.98451042175
113,-155.97501_19.68679,10.2202596664
114,-155.97820_19.68980,5.49549293518
115,-155.97841_19.67094,1.04192960262
116,-155.97748_19.68933,5.49549293518
117,-155.97618_19.68806,5.49549293518
118,-155.17593_19.68418,22.6502742767
119,-155.16304_19.67737,21.303609848
120,-155.18220_19.68232,24.0432338715
121,-155.18083_19.68330,23.332189559899998
122,-155.18215_19.68368,23.9764633179
123,-155.16078_19.67751,20.4281387329
124,-155.18329_19.68568,23.9764633179
125,-155.18314_19.68807,23.9069766998
126,-155.18297_19.68813,23.9069766998
127,-155.18305_19.68463,23.9764633179
128,-155.18297_19.68437,23.9764633179
129,-155.18383_19.68390,23.9764633179
130,-155.18367_19.68785,23.9069766998
131,-155.18359_19.68805,23.9069766998
132,-155.18350_19.68179,24.0432338715
133,-155.18087_19.68243,24.0432338715
134,-155.18254_19.68303,23.9764633179
135,-155.18211_19.68467,23.9764633179
136,-155.18336_19.68372,23.9764633179
137,-155.18387_19.68290,23.9764633179
138,-155.18250_19.68402,23.9764633179
139,-155.18249_19.68419,23.9764633179
140,-155.18243_19.68633,23.9764633179
141,-155.18241_19.68715,23.9764633179
142,-155.18226_19.68836,23.9069766998
143,-155.18118_19.68761,23.9069766998
144,-155.18118_19.68745,23.9069766998
145,-155.18119_19.68695,23.9764633179
146,-155.18325_19.68717,23.9764633179
147,-155.18279_19.68819,23.9069766998
148,-155.16679_19.68197,21.9858074188
149,-155.15781_19.67767,20.4281387329
150,-155.18386_19.68315,23.9764633179
151,-155.16153_19.67968,20.2965641022
152,-155.18385_19.68357,23.9764633179
153,-155.18323_19.68510,23.9764633179
154,-155.18335_19.68405,23.9764633179
155,-155.18334_19.68421,23.9764633179
156,-155.18341_19.68449,23.9764633179
157,-155.18380_19.68443,23.9764633179
158,-155.18083_19.68595,23.332189559899998
159,-155.18073_19.68644,23.332189559899998
160,-155.15949_19.67989,20.2965641022
161,-155.18338_19.68305,23.9764633179
162,-155.18338_19.68322,23.9764633179
163,-155.18337_19.68339,23.9764633179
164,-155.18286_19.68523,23.9764633179
165,-155.18253_19.68319,23.9764633179
166,-155.18121_19.68628,23.9764633179
167,-155.18121_19.68612,23.9764633179
168,-155.18299_19.68387,23.9764633179
169,-155.18299_19.68371,23.9764633179
170,-155.18300_19.68354,23.9764633179
171,-155.18301_19.68338,23.9764633179
172,-155.18301_19.68321,23.9764633179
173,-155.18302_19.68304,23.9764633179
174,-155.18302_19.68288,23.9764633179
175,-155.18303_19.68271,23.9764633179
176,-155.18330_19.68535,23.9764633179
177,-155.18239_19.68765,23.9069766998
178,-155.18285_19.68768,23.9069766998
179,-155.18288_19.68716,23.9764633179
180,-155.18290_19.68650,23.9764633179
181,-155.18291_19.68634,23.9764633179
182,-155.18291_19.68617,23.9764633179
183,-155.18293_19.68551,23.9764633179
184,-155.18150_19.68567,23.9764633179
185,-155.18157_19.68629,23.9764633179
186,-155.18156_19.68687,23.9764633179
187,-155.18071_19.68694,23.332189559899998
188,-155.18070_19.68760,23.2538948059
189,-155.17791_19.68359,23.332189559899998
190,-155.18120_19.68645,23.9764633179
191,-155.18378_19.68570,23.9764633179
192,-155.18377_19.68603,23.9764633179
193,-155.18374_19.68685,23.9764633179
194,-155.18374_19.68702,23.9764633179
195,-155.18373_19.68718,23.9764633179
196,-155.18372_19.68735,23.9069766998
197,-155.18372_19.68752,23.9069766998
198,-155.16958_19.68318,21.8866977692
199,-155.18328_19.68601,23.9764633179
200,-155.18328_19.68618,23.9764633179
201,-155.18327_19.68651,23.9764633179
202,-155.18072_19.68677,23.332189559899998
203,-155.18314_19.68747,23.9069766998
204,-155.18204_19.68731,23.9069766998
205,-155.18204_19.68714,23.9764633179
206,-155.18206_19.68665,23.9764633179
207,-155.18207_19.68632,23.9764633179
208,-155.18201_19.68553,23.9764633179
209,-155.18237_19.68539,23.9764633179
210,-155.18255_19.68537,23.9764633179
211,-155.18245_19.68566,23.9764633179
212,-155.18245_19.68583,23.9764633179
213,-155.18074_19.68892,23.2538948059
214,-155.18161_19.68482,23.9764633179
215,-155.15770_19.67516,20.4281387329
216,-155.18125_19.68481,23.9764633179
217,-155.18340_19.68256,23.9764633179
218,-155.15647_19.67795,19.3412876129
219,-155.15647_19.67271,19.6371383667
220,-155.14138_19.67280,16.1873073578
221,-155.14155_19.67321,16.003795623800002
222,-155.14116_19.67293,16.1873073578
223,-155.14130_19.67327,16.003795623800002
224,-155.08131_19.67390,10.0773248672
225,-155.10397_19.67363,10.9383440018
226,-155.08260_19.67594,10.2596664429
227,-155.08282_19.67593,10.2596664429
228,-155.08305_19.67587,10.2596664429
229,-155.10539_19.67121,11.1672019958
230,-155.08913_19.66650,10.6563596725
231,-155.11102_19.67609,11.228642463699998
232,-155.11100_19.67573,11.228642463699998
233,-155.11097_19.67538,11.228642463699998
234,-155.10069_19.66980,11.0225543976
235,-155.10065_19.66939,11.0225543976
