,Uid,Flikr_ID,Flikr_X,Flikr_Y
236,-155.75330_19.13589,flk_71_BI,-155.760036499,18.980133216
237,-155.75375_19.08469,flk_75_BI,-155.764691712,18.9847278318
238,-155.63056_19.04418,flk_96_BI,-155.588774477,19.0041291849
239,-155.76806_19.08589,flk_103_BI,-155.797371821,19.0123761195
240,-155.90750_19.18222,flk_251_BI,0.0,0.0
241,-155.75575_19.10268,flk_75_BI,-155.764691712,18.9847278318
242,-155.77107_19.10850,flk_86_BI,-155.783401903,18.9985937959
243,-155.77191_19.11083,flk_86_BI,-155.783401903,18.9985937959
244,-155.74539_19.12482,flk_67_BI,-155.745897089,18.9753719454
245,-155.75949_19.14969,flk_95_BI,-155.792714927,19.0077820935
246,-155.74177_19.12988,flk_67_BI,-155.745897089,18.9753719454
247,-155.75180_19.08121,flk_75_BI,-155.764691712,18.9847278318
248,-155.78449_19.12032,flk_110_BI,-155.825747485,19.0173792623
249,-155.74764_19.08777,flk_67_BI,-155.745897089,18.9753719454
250,-155.74847_19.08626,flk_67_BI,-155.745897089,18.9753719454
251,-155.89906_19.20742,flk_277_BI,0.0,0.0
252,-155.77517_19.09489,flk_103_BI,-155.797371821,19.0123761195
253,-155.90465_19.20373,flk_267_BI,0.0,0.0
254,-155.90480_19.20364,flk_267_BI,0.0,0.0
255,-155.90503_19.20339,flk_267_BI,0.0,0.0
256,-155.73188_19.13113,flk_57_BI,-155.727016655,18.9705259003
257,-155.73199_19.13145,flk_57_BI,-155.727016655,18.9705259003
258,-155.88113_19.20737,flk_271_BI,-155.898115112,19.2081781377
259,-155.75910_19.08624,flk_82_BI,-155.778745773,18.9939995246
260,-155.75226_19.10615,flk_67_BI,-155.745897089,18.9753719454
261,-155.75168_19.10634,flk_67_BI,-155.745897089,18.9753719454
262,-155.75156_19.10597,flk_67_BI,-155.745897089,18.9753719454
263,-155.73831_19.12813,flk_55_BI,-155.736500653,18.9706933995
264,-155.77563_19.06201,flk_103_BI,-155.797371821,19.0123761195
265,-155.74349_19.10436,flk_67_BI,-155.745897089,18.9753719454
266,-155.74342_19.10418,flk_67_BI,-155.745897089,18.9753719454
267,-155.89931_19.20604,flk_267_BI,0.0,0.0
268,-155.78280_19.12661,flk_118_BI,-155.839893528,19.02213525
269,-155.62678_19.05496,flk_96_BI,-155.588774477,19.0041291849
270,-155.74092_19.10926,flk_55_BI,-155.736500653,18.9706933995
271,-155.76515_19.08167,flk_95_BI,-155.792714927,19.0077820935
272,-155.78403_19.10485,flk_99_BI,-155.816345976,19.0127041232
273,-155.78440_19.10474,flk_99_BI,-155.816345976,19.0127041232
274,-155.78477_19.10462,flk_99_BI,-155.816345976,19.0127041232
275,-155.75421_19.11317,flk_67_BI,-155.745897089,18.9753719454
276,-155.74546_19.12172,flk_67_BI,-155.745897089,18.9753719454
277,-155.74485_19.09482,flk_67_BI,-155.745897089,18.9753719454
278,-155.86127_19.19667,flk_263_BI,-155.903033718,19.1992343076
279,-155.74610_19.09318,flk_67_BI,-155.745897089,18.9753719454
280,-155.76994_19.10542,flk_86_BI,-155.783401903,18.9985937959
281,-155.76890_19.09458,flk_95_BI,-155.792714927,19.0077820935
282,-155.75639_19.08628,flk_82_BI,-155.778745773,18.9939995246
283,-155.903_19.20544,flk_267_BI,0.0,0.0
284,-155.90313_19.20533,flk_267_BI,0.0,0.0
285,-155.90350_19.20498,flk_267_BI,0.0,0.0
286,-155.90363_19.20487,flk_267_BI,0.0,0.0
287,-155.90381_19.20457,flk_267_BI,0.0,0.0
288,-155.76226_19.08907,flk_82_BI,-155.778745773,18.9939995246
289,-155.79800_19.10028,flk_117_BI,-155.844637504,19.0222163821
290,-155.79954_19.09961,flk_117_BI,-155.844637504,19.0222163821
291,-155.75819_19.11781,flk_71_BI,-155.760036499,18.980133216
292,-155.89829_19.20432,flk_263_BI,-155.903033718,19.1992343076
293,-155.89783_19.20851,flk_271_BI,-155.898115112,19.2081781377
294,-155.89389_19.20453,flk_263_BI,-155.903033718,19.1992343076
295,-155.90310_19.20290,flk_267_BI,0.0,0.0
296,-155.58881_19.06075,flk_138_BI,-155.559578069,19.0396868255
297,-155.78010_19.13318,flk_122_BI,-155.858784705,19.0269710547
298,-155.79775_19.10036,flk_117_BI,-155.844637504,19.0222163821
299,-155.79922_19.09875,flk_117_BI,-155.844637504,19.0222163821
300,-155.76820_19.09604,flk_95_BI,-155.792714927,19.0077820935
301,-155.76814_19.09586,flk_95_BI,-155.792714927,19.0077820935
302,-155.75854_19.14704,flk_86_BI,-155.783401903,18.9985937959
303,-155.78719_19.11684,flk_111_BI,0.0,0.0
304,-155.78731_19.11717,flk_111_BI,0.0,0.0
305,-155.78134_19.10089,flk_101_BI,-155.80685885,19.012540364
306,-155.88636_19.20217,flk_263_BI,-155.903033718,19.1992343076
307,-155.76778_19.08399,flk_103_BI,-155.797371821,19.0123761195
308,-155.78223_19.11743,flk_111_BI,-155.821003733,19.0172976653
309,-155.76343_19.10017,flk_78_BI,-155.774089898,18.9894051716
310,-155.74920_19.08827,flk_67_BI,-155.745897089,18.9753719454
311,-155.75471_19.11795,flk_71_BI,-155.760036499,18.980133216
312,-155.90254_19.20601,flk_267_BI,0.0,0.0
313,-155.90225_19.20660,flk_277_BI,0.0,0.0
314,-155.76870_19.10107,flk_86_BI,-155.783401903,18.9985937959
315,-155.76661_19.11478,flk_78_BI,-155.774089898,18.9894051716
316,-155.74372_19.09773,flk_67_BI,-155.745897089,18.9753719454
317,-155.90204_19.20723,flk_277_BI,0.0,0.0
318,-155.90167_19.20759,flk_277_BI,0.0,0.0
319,-155.90116_19.20804,flk_277_BI,0.0,0.0
320,-155.90064_19.20845,flk_277_BI,0.0,0.0
321,-155.90034_19.20862,flk_277_BI,0.0,0.0
322,-155.74852_19.09363,flk_67_BI,-155.745897089,18.9753719454
323,-155.77078_19.11413,flk_86_BI,-155.783401903,18.9985937959
324,-155.78781_19.11852,flk_118_BI,-155.839893528,19.02213525
325,-155.58466_19.06016,flk_138_BI,-155.559578069,19.0396868255
326,-155.63352_19.03164,flk_83_BI,-155.593792396,18.9906842297
327,-155.63436_19.03086,flk_80_BI,-155.593884229,18.986173407
328,-155.76651_19.12318,flk_86_BI,-155.783401903,18.9985937959
329,-155.73640_19.11284,flk_55_BI,-155.736500653,18.9706933995
330,-155.60722_19.06551,flk_112_BI,-155.583847828,19.013063099
331,-155.76422_19.10046,flk_86_BI,-155.783401903,18.9985937959
332,-155.76353_19.10493,flk_78_BI,-155.774089898,18.9894051716
333,-155.79527_19.10630,flk_116_BI,-155.849381503,19.0222973927
334,-155.79295_19.11077,flk_117_BI,-155.844637504,19.0222163821
335,-155.79325_19.11039,flk_117_BI,-155.844637504,19.0222163821
336,-155.78379_19.10008,flk_99_BI,-155.816345976,19.0127041232
337,-155.77351_19.09689,flk_95_BI,-155.792714927,19.0077820935
338,-155.66096_19.01338,flk_18_BI,-155.651958975,18.9285684764
339,-155.78296_19.04337,flk_103_BI,-155.797371821,19.0123761195
340,-155.78288_19.12760,flk_118_BI,-155.839893528,19.02213525
341,-155.76958_19.10096,flk_86_BI,-155.783401903,18.9985937959
342,-155.75452_19.13926,flk_78_BI,-155.774089898,18.9894051716
343,-155.77759_19.09370,flk_102_BI,-155.802115323,19.0124583024
344,-155.77687_19.09434,flk_102_BI,-155.802115323,19.0124583024
345,-155.89984_19.20761,flk_277_BI,0.0,0.0
346,-155.90035_19.20697,flk_277_BI,0.0,0.0
347,-155.74769_19.11133,flk_67_BI,-155.745897089,18.9753719454
348,-155.89977_19.20575,flk_267_BI,0.0,0.0
349,-155.75648_19.09488,flk_75_BI,-155.764691712,18.9847278318
350,-155.77800_19.07773,flk_102_BI,-155.802115323,19.0124583024
351,-155.74700_19.09654,flk_67_BI,-155.745897089,18.9753719454
352,-155.75835_19.11712,flk_71_BI,-155.760036499,18.980133216
353,-155.87326_19.21588,flk_278_BI,-155.898030419,19.2126902214
354,-155.76568_19.13724,flk_86_BI,-155.783401903,18.9985937959
355,-155.74990_19.11560,flk_66_BI,-155.750639302,18.9754552927
356,-155.78516_19.11804,flk_109_BI,-155.830491261,19.0174607379
357,-155.75203_19.07733,flk_82_BI,-155.778745773,18.9939995246
358,-155.77346_19.09328,flk_103_BI,-155.797371821,19.0123761195
359,-155.78917_19.11124,flk_109_BI,-155.830491261,19.0174607379
360,-155.74652_19.10625,flk_67_BI,-155.745897089,18.9753719454
361,-155.76817_19.10035,flk_86_BI,-155.783401903,18.9985937959
362,-155.90089_19.20635,flk_277_BI,0.0,0.0
363,-155.78056_19.09109,flk_101_BI,-155.80685885,19.012540364
364,-155.76444_19.09000,flk_86_BI,-155.783401903,18.9985937959
365,-155.76474_19.09071,flk_86_BI,-155.783401903,18.9985937959
366,-155.75352_19.08174,flk_75_BI,-155.764691712,18.9847278318
367,-155.75278_19.08203,flk_75_BI,-155.764691712,18.9847278318
368,-155.76655_19.09012,flk_86_BI,-155.783401903,18.9985937959
369,-155.76584_19.09076,flk_86_BI,-155.783401903,18.9985937959
370,-155.78454_19.09696,flk_99_BI,-155.816345976,19.0127041232
371,-155.88934_19.20804,flk_271_BI,-155.898115112,19.2081781377
372,-155.74253_19.11358,flk_67_BI,-155.745897089,18.9753719454
373,-155.73794_19.13113,flk_55_BI,-155.736500653,18.9706933995
374,-155.65942_19.04497,flk_18_BI,-155.651958975,18.9285684764
375,-155.78007_19.10819,flk_102_BI,-155.802115323,19.0124583024
376,-155.78043_19.10645,flk_102_BI,-155.802115323,19.0124583024
377,-155.77504_19.09453,flk_103_BI,-155.797371821,19.0123761195
378,-155.78843_19.10926,flk_109_BI,-155.830491261,19.0174607379
379,-155.81266_19.05637,flk_109_BI,-155.830491261,19.0174607379
380,-155.74289_19.12050,flk_67_BI,-155.745897089,18.9753719454
381,-155.76773_19.10686,flk_86_BI,-155.783401903,18.9985937959
382,-155.74154_19.10460,flk_55_BI,-155.736500653,18.9706933995
383,-155.74167_19.10496,flk_55_BI,-155.736500653,18.9706933995
384,-155.74169_19.10578,flk_55_BI,-155.736500653,18.9706933995
385,-155.78444_19.11603,flk_110_BI,-155.825747485,19.0173792623
386,-155.76064_19.10710,flk_75_BI,-155.764691712,18.9847278318
387,-155.75125_19.13011,flk_66_BI,-155.750639302,18.9754552927
388,-155.77648_19.11851,flk_103_BI,-155.797371821,19.0123761195
389,-155.77346_19.09443,flk_103_BI,-155.797371821,19.0123761195
390,-155.77163_19.09576,flk_95_BI,-155.792714927,19.0077820935
391,-155.76301_19.12024,flk_75_BI,-155.764691712,18.9847278318
392,-155.76314_19.12060,flk_75_BI,-155.764691712,18.9847278318
393,-155.74524_19.10614,flk_67_BI,-155.745897089,18.9753719454
394,-155.74549_19.10605,flk_67_BI,-155.745897089,18.9753719454
395,-155.88455_19.21401,flk_271_BI,-155.898115112,19.2081781377
396,-155.89999_19.20315,flk_267_BI,0.0,0.0
397,-155.89990_19.20339,flk_267_BI,0.0,0.0
398,-155.76646_19.12035,flk_78_BI,-155.774089898,18.9894051716
399,-155.79059_19.11249,flk_118_BI,-155.839893528,19.02213525
400,-155.73711_19.10725,flk_55_BI,-155.736500653,18.9706933995
401,-155.73689_19.10747,flk_55_BI,-155.736500653,18.9706933995
402,-155.75030_19.09477,flk_65_BI,-155.755381539,18.9755385189
403,-155.48982_19.23782,flk_213_BI,-155.500575878,19.1378438463
404,-155.74418_19.09639,flk_67_BI,-155.745897089,18.9753719454
405,-155.7751_19.09247,flk_103_BI,-155.797371821,19.0123761195
406,-155.62941_19.05141,flk_96_BI,-155.588774477,19.0041291849
407,-155.63379_19.04707,flk_87_BI,-155.593700538,18.9951950499
