,Uid,Elevation_m
403,-155.48982_19.23782,614.5258178710002
404,-155.74418_19.09639,830.0089111329999
405,-155.7751_19.09247,677.1125488280001
406,-155.62941_19.05141,404.08328247099996
407,-155.63379_19.04707,404.503326416
408,-155.89569_19.20532,53.3921165466
409,-155.77499_19.12691,1006.42779541
410,-155.77747_19.11778,907.7172241210001
411,-155.77722_19.12545,988.365844727
412,-155.77443_19.10360,780.443603516
413,-155.77393_19.10222,770.362487793
414,-155.86402_19.16675,491.87268066400003
415,-155.90101_19.20603,17.5568084717
416,-155.78689_19.10001,680.0528564449999
417,-155.73681_19.12780,1208.46948242
418,-155.75618_19.09669,790.5246582029998
419,-155.77641_19.08730,614.5258178710002
420,-155.89787_19.20352,36.3998069763
421,-155.58041_19.05895,194.90087890599997
422,-155.89524_19.20497,70.5675582886
423,-155.90316_19.20446,14.9974088669
424,-155.89648_19.20371,55.3070869446
425,-155.57969_19.06121,195.320922852
426,-155.75196_19.13211,1209.3095703100003
427,-155.75207_19.13242,1213.08996582
428,-155.75218_19.13274,1216.8703613299997
429,-155.76060_19.13422,1172.3455810499997
430,-155.63455_19.03973,360.39859008800005
431,-155.77858_19.12395,971.564086914
432,-155.77214_19.10057,760.281433105
433,-155.77820_19.11049,830.0089111329999
434,-155.78311_19.08994,621.6665649409999
435,-155.78596_19.10139,700.21496582
436,-155.75118_19.10813,937.9604492190001
437,-155.75147_19.10561,920.31854248
438,-155.63224_19.03268,306.212799072
439,-155.74332_19.11901,1105.55834961
440,-155.76704_19.08616,638.048339844
441,-155.79370_19.09450,605.284851074
442,-155.79433_19.09618,619.14630127
443,-155.79445_19.09650,622.506652832
444,-155.77537_19.08512,606.1249389649998
445,-155.75123_19.11398,1008.94805908
446,-155.77079_19.11532,924.098999023
447,-155.58585_19.06000,204.561904907
448,-155.77136_19.11272,883.7746582029998
449,-155.77447_19.11791,921.578674316
450,-155.73804_19.10547,956.022399902
451,-155.75512_19.08996,722.477355957
452,-155.78899_19.11537,812.7870483399998
453,-155.79030_19.11381,783.3839111329999
454,-155.75651_19.11961,1040.03137207
455,-155.78851_19.09328,612.0055541990001
456,-155.78944_19.09369,612.0055541990001
457,-155.78956_19.09401,613.2656860350002
458,-155.78968_19.09433,614.5258178710002
459,-155.89497_19.20773,46.1203231812
460,-155.89500_19.20812,39.3996391296
461,-155.75719_19.11957,1032.47058105
462,-155.73691_19.11142,1034.15075684
463,-155.73650_19.11155,1039.61132813
464,-155.79547_19.11000,739.279174805
465,-155.76182_19.11240,936.2802734380002
466,-155.76746_19.08870,656.1102905270001
467,-155.63247_19.04598,387.281494141
468,-155.80017_19.09687,605.284851074
469,-155.62775_19.03179,273.02923584
470,-155.78811_19.10578,719.53704834
471,-155.77314_19.10679,816.1473999019998
472,-155.78287_19.09002,623.766784668
473,-155.76506_19.12476,1048.01220703
474,-155.76261_19.12557,1061.45373535
475,-155.73981_19.10622,961.903015137
476,-155.75178_19.07954,616.626037598
477,-155.78076_19.11456,864.452575684
478,-155.79515_19.07321,472.550598145
479,-155.77362_19.08455,607.3850708009999
480,-155.79344_19.05065,267.568664551
481,-155.75817_19.13501,1196.70812988
482,-155.77358_19.08771,627.967285156
483,-155.77566_19.09942,738.0190429689999
484,-155.77521_19.10355,772.46270752
485,-155.77546_19.10413,776.6632080079999
486,-155.64575_18.98297,188.180160522
487,-155.78407_19.10081,704.8355102539999
488,-155.79822_19.09711,613.68572998
489,-155.62473_19.04211,305.372711182
490,-155.47356_19.20104,262.948150635
491,-155.75789_19.10146,835.8895263669999
492,-155.77299_19.11047,853.9514770510001
493,-155.75394_19.09051,732.55847168
494,-155.61220_19.06763,325.954925537
495,-155.58746_19.05968,209.18240356400003
496,-155.58789_19.05991,211.702667236
497,-155.76289_19.10773,874.9537353519999
498,-155.77431_19.08747,622.0866088870001
499,-155.75672_19.09479,768.682312012
500,-155.77662_19.05680,364.599060059
501,-155.73462_19.11362,1066.07421875
502,-155.73474_19.11393,1071.53479004
503,-155.79164_19.11044,758.1812133789999
504,-155.77401_19.10130,759.86138916
505,-155.76773_19.11786,957.702575684
506,-155.76784_19.11818,960.222839355
507,-155.76475_19.10831,870.333190918
508,-155.90082_19.20763,8.08658123016
509,-155.90146_19.20707,10.577088356
510,-155.77581_19.12161,955.602355957
511,-155.77404_19.12166,961.903015137
512,-155.72099_19.14397,1378.16760254
513,-155.77067_19.11842,952.242004395
514,-155.77637_19.14476,1210.1496582
515,-155.76480_19.12070,1003.06744385
516,-155.77455_19.10392,782.5438232419999
517,-155.76835_19.06094,415.004455566
518,-155.76150_19.12249,1040.03137207
519,-155.76496_19.11001,887.555053711
520,-155.76461_19.10905,881.6744384769999
521,-155.87117_19.29193,419.20489502
522,-155.79263_19.10430,696.0145263670001
523,-155.74380_19.09535,816.987487793
