,Uid,In_WellCZ_C
384,-155.97029_19.70249,True
385,-155.97682_19.71314,True
386,-155.97714_19.71451,True
387,-155.97646_19.71098,True
388,-155.97630_19.71100,True
389,-155.97614_19.71102,True
390,-155.97598_19.71102,True
391,-155.95916_19.69746,True
392,-155.96086_19.70451,True
393,-155.97355_19.71151,True
394,-155.97631_19.70588,True
395,-155.97361_19.70750,True
396,-155.95952_19.70718,True
397,-155.97167_19.69388,True
398,-155.97742_19.71608,True
399,-155.96016_19.70743,True
400,-155.96091_19.70791,True
401,-155.97681_19.71251,True
402,-155.96563_19.69943,True
403,-155.97052_19.70314,True
404,-155.97072_19.70383,True
405,-155.96019_19.70097,True
406,-155.96167_19.70111,True
407,-155.96085_19.70022,True
408,-155.97580_19.71101,True
409,-155.97561_19.71108,True
410,-155.97557_19.70543,True
411,-155.97638_19.70926,True
412,-155.97853_19.71311,True
413,-155.97643_19.71153,True
414,-155.97689_19.71211,True
415,-155.97901_19.71064,True
416,-155.97863_19.71054,True
417,-155.97818_19.71040,True
418,-155.97766_19.71046,True
419,-155.96735_19.69896,True
420,-155.96805_19.69935,True
421,-155.97236_19.69335,True
422,-155.96403_19.70478,True
423,-155.95827_19.70950,True
424,-155.97713_19.70651,True
425,-155.96215_19.69987,True
426,-155.96131_19.69948,True
427,-155.96079_19.69617,True
428,-155.96140_19.69514,True
429,-155.96228_19.69485,True
430,-155.96217_19.69599,True
431,-155.96306_19.69521,True
432,-155.96370_19.69416,True
433,-155.96436_19.69454,True
434,-155.96407_19.69546,True
435,-155.96387_19.69636,True
436,-155.95935_19.69575,True
437,-155.95968_19.70184,True
438,-155.98079_19.72947,True
439,-155.98078_19.72972,True
440,-155.98078_19.72996,True
441,-155.97707_19.73079,True
442,-155.97262_19.73182,True
443,-155.98318_19.73082,True
444,-155.97751_19.70859,True
445,-155.96508_19.69554,True
446,-155.96499_19.69662,True
447,-155.96472_19.69743,True
448,-155.96453_19.69835,True
449,-155.97587_19.71297,True
450,-155.97567_19.70209,True
451,-155.96832_19.69301,True
452,-155.97045_19.69354,True
453,-155.96988_19.69255,True
454,-155.96065_19.70606,True
455,-155.95995_19.70553,True
456,-155.96445_19.70395,True
457,-155.96335_19.70545,True
458,-155.96768_19.70008,True
459,-155.96799_19.70077,True
460,-155.96823_19.70146,True
461,-155.96846_19.70216,True
462,-155.96870_19.70285,True
463,-155.96893_19.70355,True
464,-155.96921_19.70426,True
465,-155.97303_19.70207,True
466,-155.97224_19.70332,True
467,-155.97191_19.70267,True
468,-155.97143_19.70203,True
469,-155.97126_19.70116,True
470,-155.96008_19.69849,True
471,-155.96115_19.69729,True
472,-155.97647_19.71507,True
473,-155.97516_19.71606,True
474,-155.95849_19.70885,True
475,-155.95975_19.70926,True
476,-155.96029_19.70876,True
477,-155.97400_19.71035,True
478,-155.97037_19.71132,True
479,-155.97554_19.70166,True
480,-155.97550_19.70128,True
481,-155.97530_19.70068,True
482,-155.97463_19.70117,True
483,-155.96293_19.69680,True
484,-155.95963_19.70314,True
485,-155.94587_19.70634,True
486,-155.96190_19.69866,True
487,-155.97555_19.70742,True
488,-155.97486_19.71293,True
489,-155.95784_19.71010,True
