,Uid,dist2_Wetlands_m
90,-155.77469_19.11530,6758.70949495615
91,-155.89955_19.20359,6670.2261925020875
92,-155.85655_19.19473,3384.495307798797
93,-155.85698_19.19467,3415.61767908827
94,-155.85831_19.19462,3501.2116033405214
95,-155.89822_19.20748,6428.812456271464
96,-155.76281_19.12923,7361.234181354759
97,-155.89521_19.20437,6207.34434211472
98,-155.89796_19.20290,6531.238272269614
99,-155.59500_19.05975,5247.167728705512
100,-155.58974_19.05960,5206.686694060851
101,-155.77928_19.08883,8252.399063886938
102,-155.77935_19.08901,8232.105862516
103,-155.58281_19.05955,4633.031050463205
104,-155.75765_19.11064,8561.238792286415
105,-155.76574_19.09562,8762.094656816305
106,-155.74656_19.11723,7203.298313984565
107,-155.74668_19.11755,7188.818628598452
108,-155.76222_19.09904,8830.429511575418
109,-155.90417_19.20309,7153.557338611724
110,-155.90401_19.20303,7138.483950087541
111,-155.89689_19.20278,6427.741477554006
112,-155.89728_19.20273,6468.516534248308
113,-155.89747_19.20854,6326.73249703815
114,-155.89868_19.20337,6588.6319991827995
115,-155.86761_19.20027,3762.4753116175684
116,-155.86572_19.19937,3663.7049024243574
117,-155.47465_19.27137,41.27524996456378
118,-155.73765_19.11622,6622.061455879019
119,-155.86951_19.29686,9074.03357597409
120,-155.77780_19.13186,5761.373377687368
121,-155.62615_19.04545,7704.396603283991
122,-155.75858_19.09129,9064.926449183244
123,-155.89576_19.20583,6219.816179187208
124,-155.77975_19.05684,5529.831933461482
125,-155.87163_19.19592,4389.11411172026
126,-155.63820_19.03628,7878.582464676051
127,-155.85572_19.14104,2632.082888090059
128,-155.89680_19.20692,6296.598707446615
129,-155.75997_19.10714,8551.541361182946
130,-155.89893_19.20573,6545.513704626545
131,-155.89859_19.20746,6466.522428727567
132,-155.58274_19.05937,4641.038485401119
133,-155.58268_19.05919,4649.130044083617
134,-155.87097_19.27128,6589.395088053804
135,-155.87140_19.27209,6690.010253559912
136,-155.85996_19.19475,3597.0780123256923
137,-155.76557_19.09003,9175.142487279016
138,-155.85956_19.19483,3563.143146404628
139,-155.78344_19.11482,6001.306473612777
140,-155.89913_19.20825,6504.4217974964395
141,-155.90058_19.20636,6698.381610570378
142,-155.77633_19.14128,5741.472348651027
143,-155.80303_19.09945,5830.689047554244
144,-155.80316_19.09982,5788.765125299577
145,-155.77546_19.13130,6015.051024203796
146,-155.75580_19.09564,8701.364363559036
147,-155.75623_19.09495,8756.981772156734
148,-155.75565_19.08876,8817.311590253412
149,-155.86922_19.27496,6852.775381860503
150,-155.86512_19.20084,3513.9550247096477
151,-155.86468_19.20078,3481.6266068009577
152,-155.86376_19.20057,3420.2173307620965
153,-155.86260_19.19854,3475.9202806580092
154,-155.86255_19.19777,3531.5880806796863
155,-155.78534_19.09445,7363.967530090469
156,-155.72174_19.14376,3321.6799296686986
157,-155.78440_19.09559,7334.521567911003
158,-155.75585_19.10454,8634.001654017422
159,-155.77316_19.10978,7211.562596576041
160,-155.77007_19.11330,7290.692052785326
161,-155.90443_19.20400,7154.029090951528
162,-155.77988_19.11605,6244.268498884803
163,-155.86524_19.19993,3585.8415349757915
164,-155.62645_19.03907,7621.547989413892
165,-155.78123_19.13213,5404.40836178449
166,-155.78096_19.12601,5649.621681169468
167,-155.76301_19.09707,8891.831645140186
168,-155.76998_19.13221,6551.9676516122745
169,-155.77022_19.13212,6529.0587959112045
170,-155.89962_19.20315,6690.846088112668
171,-155.73119_19.11879,5966.640281265531
172,-155.79000_19.06109,5591.5817403792225
173,-155.74864_19.08447,8222.37484072129
174,-155.78108_19.08815,8186.790523961121
175,-155.78312_19.08835,8034.056260593305
176,-155.78244_19.08877,8043.164431980084
177,-155.89799_19.20501,6470.18536538073
178,-155.77903_19.09787,7545.339290312492
179,-155.75805_19.08521,9154.408071554348
180,-155.79366_19.10924,5565.022909386017
181,-155.79495_19.10865,5517.668982625956
182,-155.90136_19.20646,6774.967202378592
183,-155.47196_19.19937,5761.253933332292
184,-155.77017_19.10606,7700.853946836938
185,-155.76872_19.13159,6696.101362390389
186,-155.89765_19.20633,6399.251500094392
187,-155.61010_19.04397,7237.724660242062
188,-155.78383_19.09678,7277.04000154768
189,-155.77880_19.11729,6273.417481327844
190,-155.75775_19.10443,8834.368070806431
191,-155.90103_19.20547,6767.138586698447
192,-155.74568_19.09332,7689.731333179424
193,-155.58261_19.06007,4579.8574921842555
194,-155.77905_19.09272,7949.26208415211
195,-155.89879_19.20453,6565.168125148515
196,-155.86855_19.28008,7326.331397765133
197,-155.76034_19.10066,8892.777598573562
198,-155.77569_19.10701,7164.865851128335
199,-155.77580_19.10733,7134.199180138902
200,-155.89826_19.20399,6528.125763777583
201,-155.89828_19.20415,6524.649574666095
202,-155.76227_19.10261,8604.528887065588
203,-155.74712_19.09924,7748.996637586035
204,-155.89818_19.20696,6437.410387874286
205,-155.76630_19.09527,8740.55074357719
206,-155.76159_19.08324,9007.724497682228
207,-155.88155_19.21130,4625.272637568396
208,-155.89723_19.20359,6435.536929354281
209,-155.89760_19.20533,6420.8712517241065
210,-155.90133_19.20382,6843.751930649321
211,-155.74495_19.11278,7423.605764191616
212,-155.75238_19.10809,8270.707114381426
213,-155.75737_19.08904,8987.99492711915
214,-155.78672_19.11183,5917.639928123197
215,-155.73533_19.12075,6087.270916150291
216,-155.53282_19.10450,1346.2607534404083
