,Uid,nrcs_DtoBrock,nrcs_FloodFreq,nrcs_septic_dominant,nrcs_septic_least,nrcs_septic_most,nrcs_ksat_hi,nrcs_ksat_lo,nrcs_ksat_rep,nrcs_rockFrag3in
102,-155.77935_19.08901,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
103,-155.58281_19.05955,0.0,None,Very limited,Not rated,Very limited,120.02500000000002,31.10833333333333,66.34083333333334,70.5
104,-155.75765_19.11064,0.0,None,Not rated,Not rated,Very limited,36.555,11.288333333333332,23.919722222222227,76.25
105,-155.76574_19.09562,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
106,-155.74656_19.11723,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
107,-155.74668_19.11755,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
108,-155.76222_19.09904,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
109,-155.90417_19.20309,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
110,-155.90401_19.20303,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
111,-155.89689_19.20278,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
112,-155.89728_19.20273,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
113,-155.89747_19.20854,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
114,-155.89868_19.20337,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
115,-155.86761_19.20027,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
116,-155.86572_19.19937,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
117,-155.47465_19.27137,0.0,Rare,Very limited,Not rated,Very limited,34.245,10.511666666666667,23.46166666666667,93.75
118,-155.73765_19.11622,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
119,-155.86951_19.29686,76.0,None,Very limited,Very limited,Very limited,342.6866,70.52459999999998,206.5543,36.48333333333333
120,-155.77780_19.13186,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
121,-155.62615_19.04545,0.0,None,Not rated,Not rated,Very limited,36.555,11.288333333333332,23.919722222222227,76.25
122,-155.75858_19.09129,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
123,-155.89576_19.20583,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,20.0
124,-155.77975_19.05684,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
125,-155.87163_19.19592,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
126,-155.63820_19.03628,46.0,None,Very limited,Not rated,Very limited,36.555,11.288333333333336,23.919722222222227,76.25
127,-155.85572_19.14104,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
128,-155.89680_19.20692,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
129,-155.75997_19.10714,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
130,-155.89893_19.20573,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
131,-155.89859_19.20746,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
132,-155.58274_19.05937,0.0,None,Very limited,Not rated,Very limited,120.02500000000002,31.10833333333333,66.34083333333334,70.5
133,-155.58268_19.05919,0.0,None,Very limited,Not rated,Very limited,120.02500000000002,31.10833333333333,66.34083333333334,70.5
134,-155.87097_19.27128,0.0,None,Very limited,Not rated,Very limited,141.6925,31.0925,86.39041666666668,82.5
135,-155.87140_19.27209,0.0,None,Very limited,Not rated,Very limited,141.6925,31.0925,86.39041666666668,82.5
136,-155.85996_19.19475,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
137,-155.76557_19.09003,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
138,-155.85956_19.19483,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
139,-155.78344_19.11482,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
140,-155.89913_19.20825,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
141,-155.90058_19.20636,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
142,-155.77633_19.14128,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
143,-155.80303_19.09945,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
144,-155.80316_19.09982,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
145,-155.77546_19.13130,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
146,-155.75580_19.09564,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
147,-155.75623_19.09495,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
148,-155.75565_19.08876,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
149,-155.86922_19.27496,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
150,-155.86512_19.20084,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
151,-155.86468_19.20078,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
152,-155.86376_19.20057,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
153,-155.86260_19.19854,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
154,-155.86255_19.19777,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
155,-155.78534_19.09445,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
156,-155.72174_19.14376,56.0,None,Very limited,Very limited,Very limited,370.2825,76.0075,223.08125,28.66666666666667
157,-155.78440_19.09559,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
158,-155.75585_19.10454,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23875,51.25
159,-155.77316_19.10978,100.0,None,Very limited,Very limited,Very limited,229.765,48.84,139.23916666666668,35.833333333333336
160,-155.77007_19.11330,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
161,-155.90443_19.20400,100.0,None,Very limited,Very limited,Very limited,352.71,71.01,211.61,7.0
162,-155.77988_19.11605,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
163,-155.86524_19.19993,,None,Very limited,Very limited,Very limited,324.812,67.27199999999999,195.99033333333333,48.05555555555554
164,-155.62645_19.03907,0.0,None,Very limited,Not rated,Very limited,120.02500000000002,31.10833333333333,66.34083333333334,70.5
165,-155.78123_19.13213,76.0,None,Very limited,Very limited,Very limited,205.9286,43.7266,124.7753,35.1875
