,Uid,BlockBk_ID
478,-155.79515_19.07321,5332
479,-155.77362_19.08455,3876
480,-155.79344_19.05065,1836
481,-155.75817_19.13501,6643
482,-155.77358_19.08771,3367
483,-155.77566_19.09942,2999
484,-155.77521_19.10355,4576
485,-155.77546_19.10413,4576
486,-155.64575_18.98297,2310
487,-155.78407_19.10081,1161
488,-155.79822_19.09711,3248
489,-155.62473_19.04211,4119
490,-155.47356_19.20104,1154
491,-155.75789_19.10146,2785
492,-155.77299_19.11047,1163
493,-155.75394_19.09051,1160
494,-155.61220_19.06763,2499
495,-155.58746_19.05968,3951
496,-155.58789_19.05991,3951
497,-155.76289_19.10773,4899
498,-155.77431_19.08747,3367
499,-155.75672_19.09479,3804
500,-155.77662_19.05680,3578
501,-155.73462_19.11362,5269
502,-155.73474_19.11393,5269
503,-155.79164_19.11044,3303
504,-155.77401_19.10130,2999
505,-155.76773_19.11786,3362
506,-155.76784_19.11818,3362
507,-155.76475_19.10831,4763
508,-155.90082_19.20763,8475
509,-155.90146_19.20707,8475
510,-155.77581_19.12161,6097
511,-155.77404_19.12166,6097
512,-155.72099_19.14397,5766
513,-155.77067_19.11842,3362
514,-155.77637_19.14476,1047
515,-155.76480_19.12070,5084
516,-155.77455_19.10392,4576
517,-155.76835_19.06094,3576
518,-155.76150_19.12249,849
519,-155.76496_19.11001,4763
520,-155.76461_19.10905,4763
521,-155.87117_19.29193,8537
522,-155.79263_19.10430,2783
523,-155.74380_19.09535,3874
524,-155.73986_19.10961,4385
525,-155.76590_19.09651,3865
526,-155.78544_19.10573,4575
527,-155.78521_19.11477,2998
528,-155.80328_19.10214,4456
529,-155.76538_19.11587,2996
530,-155.75437_19.11688,2847
531,-155.76710_19.11615,3003
532,-155.75229_19.08329,3000
533,-155.76237_19.09538,6556
534,-155.74485_19.09743,3874
535,-155.74442_19.09703,3874
536,-155.78021_19.11192,2841
537,-155.76983_19.10169,3002
538,-155.79770_19.09871,3248
539,-155.79666_19.09923,3248
540,-155.65883_19.04186,6248
541,-155.77016_19.10265,3002
542,-155.78000_19.12214,2567
543,-155.58302_19.06011,5331
544,-155.74197_19.11534,3946
545,-155.75311_19.08818,1160
546,-155.63278_19.04940,5274
547,-155.78047_19.10442,3805
548,-155.76374_19.10663,3363
549,-155.76350_19.09501,4762
550,-155.76326_19.09437,4762
551,-155.74871_19.09795,4314
552,-155.74915_19.09727,4314
553,-155.74498_19.12890,847
554,-155.77241_19.11221,3361
555,-155.79639_19.09414,4571
556,-155.77785_19.12052,4316
557,-155.77267_19.08783,3367
558,-155.76173_19.09695,3364
559,-155.79141_19.10980,3303
560,-155.74755_19.09242,3954
561,-155.77200_19.12777,315
562,-155.72133_19.14048,697
563,-155.72182_19.14032,697
564,-155.75323_19.09193,3414
565,-155.74382_19.09886,4114
566,-155.77857_19.13315,311
567,-155.78095_19.08892,2780
568,-155.74494_19.10193,3429
569,-155.78162_19.10162,1161
570,-155.78174_19.10193,1161
571,-155.77191_19.12948,315
572,-155.77198_19.12856,315
573,-155.74072_19.11193,4384
574,-155.77843_19.11267,2841
575,-155.77786_19.11302,2841
576,-155.63646_19.03956,4002
577,-155.80062_19.09925,2837
578,-155.74327_19.10812,2493
579,-155.75824_19.10241,2785
580,-155.78765_19.05586,5263
581,-155.75336_19.12514,5607
582,-155.77408_19.09186,3422
583,-155.77395_19.09149,3422
584,-155.75558_19.11968,2848
585,-155.75519_19.11990,2848
586,-155.78160_19.12664,6644
587,-155.75157_19.14315,6642
588,-155.78497_19.12228,1048
589,-155.57530_19.06396,5207
590,-155.63131_19.04421,5275
591,-155.77455_19.09637,1162
592,-155.79345_19.11209,5398
593,-155.78096_19.05879,4777
594,-155.78264_19.11525,2998
595,-155.78742_19.10654,2782
596,-155.75947_19.12139,2920
597,-155.78917_19.09299,2784
598,-155.76898_19.10267,4259
599,-155.74715_19.09123,3954
600,-155.75050_19.10817,5083
601,-155.75593_19.11151,5086
602,-155.75368_19.10569,3421
603,-155.75810_19.08348,4312
604,-155.79140_19.09319,2835
605,-155.48177_19.20290,2773
606,-155.76022_19.10025,1829
607,-155.78311_19.11014,3354
608,-155.78318_19.11032,3354
609,-155.76959_19.10436,4259
610,-155.77584_19.11073,3001
611,-155.75105_19.09798,4314
612,-155.78063_19.11419,3568
613,-155.77702_19.11654,4315
614,-155.77715_19.11692,4315
615,-155.81167_19.05397,5332
616,-155.76290_19.12632,317
617,-155.77879_19.11397,3568
618,-155.77093_19.10244,3002
619,-155.77575_19.12488,2914
620,-155.78702_19.10038,3570
621,-155.76494_19.14289,846
622,-155.86935_19.19793,6477
623,-155.76991_19.14204,2311
624,-155.74576_19.09960,1832
625,-155.75568_19.13159,688
626,-155.75530_19.08664,3006
627,-155.77290_19.10462,3812
628,-155.75366_19.14449,86
629,-155.76952_19.12171,2921
630,-155.76464_19.08542,4577
631,-155.88171_19.20601,7791
632,-155.74400_19.10123,4114
633,-155.74376_19.10130,4114
634,-155.75907_19.13745,93
635,-155.78261_19.12039,7019
636,-155.80129_19.09919,2837
637,-155.76971_19.09378,3359
638,-155.75938_19.12266,2920
639,-155.74495_19.10943,3418
640,-155.79851_19.10433,5398
641,-155.60886_19.04232,6564
642,-155.79249_19.09291,2835
643,-155.74800_19.11788,3419
644,-155.74480_19.14792,322
645,-155.75347_19.10334,3421
646,-155.77096_19.08755,3357
647,-155.74517_19.09910,1832
648,-155.74586_19.09834,1832
649,-155.72066_19.14052,697
650,-155.73210_19.11750,4326
651,-155.73245_19.11846,4326
652,-155.73288_19.11778,4326
653,-155.75399_19.10157,4766
654,-155.58143_19.06194,3953
655,-155.74410_19.09347,5334
656,-155.77955_19.04279,3943
657,-155.75173_19.09538,3414
658,-155.75441_19.08089,5082
659,-155.75485_19.08021,5082
660,-155.77090_19.11907,3362
661,-155.66318_18.99860,2310
662,-155.76155_19.10061,3867
663,-155.76135_19.10841,4899
664,-155.76208_19.10817,4899
665,-155.78622_19.11751,2997
666,-155.62065_19.05710,5032
667,-155.77279_19.08815,3367
668,-155.72759_19.12689,2007
669,-155.75773_19.12886,689
670,-155.76511_19.10286,3363
671,-155.76155_19.08797,4318
672,-155.75333_19.08124,3000
673,-155.75305_19.08161,3000
674,-155.77798_19.04917,4378
675,-155.76603_19.11309,3866
676,-155.76482_19.08445,4577
677,-155.79808_19.10647,3802
678,-155.78969_19.11155,3303
679,-155.78963_19.11137,3303
680,-155.77809_19.11379,3568
681,-155.77510_19.13792,89
682,-155.77278_19.03341,6552
683,-155.58589_19.06126,7745
684,-155.77416_19.11181,3001
685,-155.77441_19.11173,3001
686,-155.75812_19.10209,2785
687,-155.76230_19.10602,2786
688,-155.77004_19.13498,2316
689,-155.77283_19.13180,778
690,-155.77547_19.12065,6097
691,-155.61915_19.05464,5032
692,-155.77921_19.08865,3369
693,-155.78527_19.10821,3807
694,-155.78601_19.10797,3807
695,-155.78423_19.10237,1161
696,-155.73580_19.10974,5334
697,-155.63009_19.03450,5603
698,-155.77691_19.08415,1835
699,-155.75189_19.07835,5334
700,-155.79362_19.10773,4572
701,-155.76749_19.12054,5084
702,-155.77781_19.09155,1833
703,-155.75558_19.08221,5082
704,-155.75133_19.12067,7106
705,-155.79962_19.10098,2993
706,-155.75171_19.14219,6642
707,-155.79100_19.10026,4257
708,-155.78693_19.10526,2782
709,-155.75756_19.08691,3872
710,-155.76303_19.09400,4762
711,-155.47971_19.20237,2773
712,-155.76934_19.09274,4258
713,-155.76945_19.09305,4258
714,-155.75545_19.09468,3804
715,-155.76654_19.10345,4259
716,-155.76894_19.10179,4259
717,-155.75554_19.13534,779
718,-155.62782_19.03518,5400
719,-155.75441_19.09780,3566
720,-155.78168_19.11926,4768
721,-155.75435_19.12789,6645
722,-155.77644_19.09030,3355
723,-155.77678_19.08853,3369
724,-155.75093_19.13581,2317
725,-155.75467_19.10760,1831
726,-155.79424_19.35614,621
727,-155.90248_19.47015,8249
728,-155.90228_19.46968,8249
729,-155.90171_19.47004,8249
730,-155.90186_19.47047,8249
731,-155.92529_19.45954,1814
732,-155.90060_19.46598,620
733,-155.90018_19.46548,620
734,-155.90021_19.46498,620
735,-155.89387_19.49067,537
736,-155.93761_19.56123,6906
737,-155.21537_19.42236,4625
738,-155.19116_19.44071,2432
739,-155.22399_19.43176,5463
740,-155.23520_19.42957,6507
741,-155.23497_19.43003,6507
742,-155.76266_19.08757,4318
743,-155.75278_19.09710,3566
744,-155.74591_19.09017,3954
745,-155.74402_19.11772,3365
746,-155.76350_19.08176,3360
747,-155.76564_19.12821,317
748,-155.78522_19.09408,3803
749,-155.75189_19.09916,4314
750,-155.75083_19.12560,5607
751,-155.78066_19.11802,4768
752,-155.76088_19.08429,3814
753,-155.74945_19.08902,4767
754,-155.77351_19.09913,1162
755,-155.77297_19.09949,1162
756,-155.76006_19.12189,2920
757,-155.61004_19.06582,4121
758,-155.74918_19.08708,2846
759,-155.73399_19.13098,2006
760,-155.76850_19.09041,4258
761,-155.76864_19.09192,4258
762,-155.76532_19.09252,4762
763,-155.47378_19.19815,3299
764,-155.76091_19.09343,6556
765,-155.77744_19.12715,780
